uid,table_name,name,data_type,nullable,description
PO_HEADERS_ALL.PO_HEADER_ID,PO_HEADERS_ALL,PO_HEADER_ID,NUMBER,Yes,Document header unique identifier
PO_HEADERS_ALL.CHECKLIST_ID,PO_HEADERS_ALL,CHECKLIST_ID,NUMBER,Yes,Value that uniquely identifies the checklist on a Purchasing Document.
PO_HEADERS_ALL.SCHEDULE_GROUP,PO_HEADERS_ALL,SCHEDULE_GROUP,VARCHAR2,Yes,User-defined value used as a criterion for scheduling order creation
PO_HEADERS_ALL.SIGNATURE_REQUIRED_FLAG,PO_HEADERS_ALL,SIGNATURE_REQUIRED_FLAG,VARCHAR2,Yes,Checkbox to indicate  if signatures are required on the document before it can be opened.
PO_HEADERS_ALL.MODE_OF_TRANSPORT,PO_HEADERS_ALL,MODE_OF_TRANSPORT,VARCHAR2,Yes,"Type of transportation used to ship the product, such as truck, air or boat."
PO_HEADERS_ALL.SERVICE_LEVEL,PO_HEADERS_ALL,SERVICE_LEVEL,VARCHAR2,Yes,Priority of transportation that affects how quickly goods are transported
PO_HEADERS_ALL.BUYER_MANAGED_TRANSPORT_FLAG,PO_HEADERS_ALL,BUYER_MANAGED_TRANSPORT_FLAG,VARCHAR2,Yes,"A flag to indicate that the buying company is responsible for arranging the transportation, from picking up the requested goods to delivering to ship-to locations specified on the order. The value is Y/N."
PO_HEADERS_ALL.BILLTO_BU_ID,PO_HEADERS_ALL,BILLTO_BU_ID,NUMBER,Yes,Bill-to Business Unit unique identifier. This captures the business unit which vouches the supplier invoices received for a purchase order.
PO_HEADERS_ALL.SOLDTO_LE_ID,PO_HEADERS_ALL,SOLDTO_LE_ID,NUMBER,Yes,Sold to Legal Entity unique identifier. Indicates the party which is financially responsible for the purchases on a purchase order.
PO_HEADERS_ALL.DEFAULT_PO_TRADE_ORG_ID,PO_HEADERS_ALL,DEFAULT_PO_TRADE_ORG_ID,NUMBER,Yes,Unique identifier for Purchasing Trade Organization. Purchasing Trade Organization is the inventory organization reporting to the Sold-to Legal Entity identified in a Purchase Order. This organization is used for cost accounting the transactions in the Sold-to Legal Entity.
PO_HEADERS_ALL.ORCHESTRATION_ORDER_FLAG,PO_HEADERS_ALL,ORCHESTRATION_ORDER_FLAG,VARCHAR2,Yes,Indicates whether this purchase order is an orchestrated purchase order.
PO_HEADERS_ALL.AGING_PERIOD_DAYS,PO_HEADERS_ALL,AGING_PERIOD_DAYS,NUMBER,Yes,Indicates the maximum number of days the material may be on consignment. It defaults a value for the same term on the document line. Only positive values are allowed. Applicable only to BPA.
PO_HEADERS_ALL.AGING_ONSET_POINT,PO_HEADERS_ALL,AGING_ONSET_POINT,VARCHAR2,Yes,Indicates the mutually agreed event point at which consigned material begins to age. The possible values are None / Receipt / Shipment. Values from Lookups. Applicable only to BPA.
PO_HEADERS_ALL.CONSUMPTION_ADVICE_FREQUENCY,PO_HEADERS_ALL,CONSUMPTION_ADVICE_FREQUENCY,VARCHAR2,Yes,Indicates the default value of the frequency at which the 'Create Consumption Advice' program will be run for all consumption transactions for consigned inventory purchased under this agreement. It defaults a value for the same term on the document line. The possible values are Daily / Weekly / Monthly. Values from Lookups. Applicable only to BPA.
PO_HEADERS_ALL.CONSUMPTION_ADVICE_SUMMARY,PO_HEADERS_ALL,CONSUMPTION_ADVICE_SUMMARY,VARCHAR2,Yes,Indicates the granularity at which consumption advices will be generated. The possible values are Inventory Organization / Item and Transaction Date / Inventory Organization and Item / Inventory Organization / All Inventory Organizations. Values from Lookups. Applicable only to BPA.
PO_HEADERS_ALL.BILLING_CYCLE_CLOSING_DATE,PO_HEADERS_ALL,BILLING_CYCLE_CLOSING_DATE,DATE,Yes,Field to capture when the current billing period for an agreement ends. This is applicable only for a BPA with consignment terms enabled.
PO_HEADERS_ALL.LAST_BILLED_DATE,PO_HEADERS_ALL,LAST_BILLED_DATE,DATE,Yes,Field to capture when the consumption transaction on the agreement was last billed.
PO_HEADERS_ALL.DEFAULT_CONSIGNMENT_LINE_FLAG,PO_HEADERS_ALL,DEFAULT_CONSIGNMENT_LINE_FLAG,VARCHAR2,Yes,Indicates the default value for the Consignment line attribute on the agreement line. Values: Y/N. Applicable only to BPA.
PO_HEADERS_ALL.PAY_ON_USE_FLAG,PO_HEADERS_ALL,PAY_ON_USE_FLAG,VARCHAR2,Yes,This checkbox will indicate whether self-billing is enabled for consumption of consigned material. Values: Y/N. Applicable only to BPA.
PO_HEADERS_ALL.ACTIVE_VERSION_FLAG,PO_HEADERS_ALL,ACTIVE_VERSION_FLAG,VARCHAR2,Yes,A flag to indicate whether the inital draft or change order of the document is still being processed (i.e incomplete status or in the middle of approval process)
PO_HEADERS_ALL.ACCEPTANCE_WITHIN_DAYS,PO_HEADERS_ALL,ACCEPTANCE_WITHIN_DAYS,NUMBER,Yes,Used for Acknowledge within days
PO_HEADERS_ALL.AMOUNT_RELEASED,PO_HEADERS_ALL,AMOUNT_RELEASED,NUMBER,Yes,Amount released against this agreement - sum of all the approved standard PO amounts
PO_HEADERS_ALL.LAST_RELEASE_DATE,PO_HEADERS_ALL,LAST_RELEASE_DATE,DATE,Yes,Latest date on which a purchase order got implemented against this agreement
PO_HEADERS_ALL.CURRENT_VERSION_ID,PO_HEADERS_ALL,CURRENT_VERSION_ID,NUMBER,Yes,Current version of the Header
PO_HEADERS_ALL.GENERATE_ORDERS_AUTOMATIC,PO_HEADERS_ALL,GENERATE_ORDERS_AUTOMATIC,VARCHAR2,Yes,Automatically Generate Orders flag
PO_HEADERS_ALL.SUBMIT_APPROVAL_AUTOMATIC,PO_HEADERS_ALL,SUBMIT_APPROVAL_AUTOMATIC,VARCHAR2,Yes,Automatically Submit for Approval flag
PO_HEADERS_ALL.GROUP_REQUISITIONS,PO_HEADERS_ALL,GROUP_REQUISITIONS,VARCHAR2,Yes,Group Requisitions flag
PO_HEADERS_ALL.GROUP_REQUISITION_LINES,PO_HEADERS_ALL,GROUP_REQUISITION_LINES,VARCHAR2,Yes,Group Requisition Lines flag
PO_HEADERS_ALL.USE_NEED_BY_DATE,PO_HEADERS_ALL,USE_NEED_BY_DATE,VARCHAR2,Yes,Use need by date falg
PO_HEADERS_ALL.USE_SHIP_TO,PO_HEADERS_ALL,USE_SHIP_TO,VARCHAR2,Yes,Use ship to organization and location flag
PO_HEADERS_ALL.DOCUMENT_STATUS,PO_HEADERS_ALL,DOCUMENT_STATUS,VARCHAR2,Yes,Header status
PO_HEADERS_ALL.PRC_BU_ID,PO_HEADERS_ALL,PRC_BU_ID,NUMBER,Yes,PRC_BU_ID
PO_HEADERS_ALL.REQ_BU_ID,PO_HEADERS_ALL,REQ_BU_ID,NUMBER,Yes,REQ_BU_ID
PO_HEADERS_ALL.DEFAULT_TAXATION_COUNTRY,PO_HEADERS_ALL,DEFAULT_TAXATION_COUNTRY,VARCHAR2,Yes,The country for taxation for tax calculation purposes
PO_HEADERS_ALL.TAX_DOCUMENT_SUBTYPE,PO_HEADERS_ALL,TAX_DOCUMENT_SUBTYPE,VARCHAR2,Yes,Country Specific classification of the document used for tax calculation and reporting putposes
PO_HEADERS_ALL.AGENT_ID,PO_HEADERS_ALL,AGENT_ID,NUMBER,Yes,Buyer unique identifier. (References PO_AGENTS.agent_id)
PO_HEADERS_ALL.TYPE_LOOKUP_CODE,PO_HEADERS_ALL,TYPE_LOOKUP_CODE,VARCHAR2,Yes,Type of the document. (Combined with segment1and bu to form unique key; References PO_DOCUMENT_TYPES_ALL_B.document_subtype)
PO_HEADERS_ALL.LAST_UPDATE_DATE,PO_HEADERS_ALL,LAST_UPDATE_DATE,TIMESTAMP,Yes,Who column: indicates the date and time of the last update of the row.
PO_HEADERS_ALL.LAST_UPDATED_BY,PO_HEADERS_ALL,LAST_UPDATED_BY,VARCHAR2,Yes,Who column: indicates the user who last updated the row.
PO_HEADERS_ALL.SEGMENT1,PO_HEADERS_ALL,SEGMENT1,VARCHAR2,Yes,Key Flexfield: segment of the key flexfield.
PO_HEADERS_ALL.SUMMARY_FLAG,PO_HEADERS_ALL,SUMMARY_FLAG,VARCHAR2,Yes,Key Flexfield summary flag
PO_HEADERS_ALL.CARRIER_ID,PO_HEADERS_ALL,CARRIER_ID,NUMBER,Yes,Carrier ID (Party ID)
PO_HEADERS_ALL.ENABLED_FLAG,PO_HEADERS_ALL,ENABLED_FLAG,VARCHAR2,Yes,Key Flexfield enabled flag
PO_HEADERS_ALL.SEGMENT2,PO_HEADERS_ALL,SEGMENT2,VARCHAR2,Yes,Key Flexfield: segment of the key flexfield.
PO_HEADERS_ALL.SEGMENT3,PO_HEADERS_ALL,SEGMENT3,VARCHAR2,Yes,Key Flexfield: segment of the key flexfield.
PO_HEADERS_ALL.SEGMENT4,PO_HEADERS_ALL,SEGMENT4,VARCHAR2,Yes,Key Flexfield: segment of the key flexfield.
PO_HEADERS_ALL.SEGMENT5,PO_HEADERS_ALL,SEGMENT5,VARCHAR2,Yes,Key Flexfield: segment of the key flexfield.
PO_HEADERS_ALL.LAST_UPDATE_LOGIN,PO_HEADERS_ALL,LAST_UPDATE_LOGIN,VARCHAR2,Yes,Who column: indicates the session login associated to the user who last updated the row.
PO_HEADERS_ALL.CREATION_DATE,PO_HEADERS_ALL,CREATION_DATE,TIMESTAMP,Yes,Who column: indicates the date and time of the creation of the row.
PO_HEADERS_ALL.CREATED_BY,PO_HEADERS_ALL,CREATED_BY,VARCHAR2,Yes,Who column: indicates the user who created the row.
PO_HEADERS_ALL.VENDOR_ID,PO_HEADERS_ALL,VENDOR_ID,NUMBER,Yes,Supplier unique identifier (References PO_VENDORS.vendor_id)
PO_HEADERS_ALL.VENDOR_SITE_ID,PO_HEADERS_ALL,VENDOR_SITE_ID,NUMBER,Yes,Supplier site unique identifier (References PO_VENDOR_SITES_ALL.vendor_site_id)
PO_HEADERS_ALL.VENDOR_CONTACT_ID,PO_HEADERS_ALL,VENDOR_CONTACT_ID,NUMBER,Yes,Supplier contact unique identifier (References PO_VENDOR_CONTACTS.vendor_contact_id)
PO_HEADERS_ALL.SHIP_TO_LOCATION_ID,PO_HEADERS_ALL,SHIP_TO_LOCATION_ID,NUMBER,Yes,Ship-to location unique identifier (References HR_LOCATIONS_ALL.location_id)
PO_HEADERS_ALL.BILL_TO_LOCATION_ID,PO_HEADERS_ALL,BILL_TO_LOCATION_ID,NUMBER,Yes,Bill-to location unique identifier (References HR_LOCATIONS_ALL.location_id)
PO_HEADERS_ALL.TERMS_ID,PO_HEADERS_ALL,TERMS_ID,NUMBER,Yes,Payment terms unique identifier (References to AP_TERMS_TL.term_id)
PO_HEADERS_ALL.FOB_LOOKUP_CODE,PO_HEADERS_ALL,FOB_LOOKUP_CODE,VARCHAR2,Yes,Type of free-on-board terms for the document (References PO_LOOKUP_CODES.lookup_code with LOOKUP_TYPE='FOB')
PO_HEADERS_ALL.FREIGHT_TERMS_LOOKUP_CODE,PO_HEADERS_ALL,FREIGHT_TERMS_LOOKUP_CODE,VARCHAR2,Yes,Type of freight terms for the document (References PO_LOOKUP_CODES.lookup_code with LOOKUP_TYPE='FREIGHT TERMS')
PO_HEADERS_ALL.CURRENCY_CODE,PO_HEADERS_ALL,CURRENCY_CODE,VARCHAR2,Yes,Unique identifier for the currency (References FND_CURRENCIES.currency_code)
PO_HEADERS_ALL.RATE_TYPE,PO_HEADERS_ALL,RATE_TYPE,VARCHAR2,Yes,Currency conversion rate type (References GL_DAILY_CONVERSION_TYPES.conversion_type)
PO_HEADERS_ALL.RATE_DATE,PO_HEADERS_ALL,RATE_DATE,DATE,Yes,Currency conversion date
PO_HEADERS_ALL.RATE,PO_HEADERS_ALL,RATE,NUMBER,Yes,Currency conversion rate
PO_HEADERS_ALL.FROM_HEADER_ID,PO_HEADERS_ALL,FROM_HEADER_ID,NUMBER,Yes,Unique identifier of document from which this document is copied (References PO_HEADERS_ALL.po_header_id)
PO_HEADERS_ALL.FROM_TYPE_LOOKUP_CODE,PO_HEADERS_ALL,FROM_TYPE_LOOKUP_CODE,VARCHAR2,Yes,Document type of the document used to copy or autocreate another document (References: PO_DOCUMENT_TYPES_ALL_B.document_subtype)
PO_HEADERS_ALL.START_DATE,PO_HEADERS_ALL,START_DATE,DATE,Yes,Effective date of the document
PO_HEADERS_ALL.END_DATE,PO_HEADERS_ALL,END_DATE,DATE,Yes,Expiration date of the document
PO_HEADERS_ALL.BLANKET_TOTAL_AMOUNT,PO_HEADERS_ALL,BLANKET_TOTAL_AMOUNT,NUMBER,Yes,Amount agreed for the planned or blanket purchase order
PO_HEADERS_ALL.REVISION_NUM,PO_HEADERS_ALL,REVISION_NUM,NUMBER,Yes,Document revision number
PO_HEADERS_ALL.REVISED_DATE,PO_HEADERS_ALL,REVISED_DATE,DATE,Yes,Date the document was last revised
PO_HEADERS_ALL.APPROVED_FLAG,PO_HEADERS_ALL,APPROVED_FLAG,VARCHAR2,Yes,Indicates whether the purchase order is approved or not
PO_HEADERS_ALL.APPROVED_DATE,PO_HEADERS_ALL,APPROVED_DATE,DATE,Yes,Date the purchase order was last approved
PO_HEADERS_ALL.AMOUNT_LIMIT,PO_HEADERS_ALL,AMOUNT_LIMIT,NUMBER,Yes,"Blanket, Planned PO or Contract only: Maximum amount that can be released"
PO_HEADERS_ALL.MIN_RELEASE_AMOUNT,PO_HEADERS_ALL,MIN_RELEASE_AMOUNT,NUMBER,Yes,Minimum amount that can be released against a blanket or planned purchase order
PO_HEADERS_ALL.NOTE_TO_AUTHORIZER,PO_HEADERS_ALL,NOTE_TO_AUTHORIZER,VARCHAR2,Yes,Not currently used
