fid,table,foreign_table,foreign_column
PO_HEADERS_ALL.POZ_SUPPLIERS.VENDOR_ID,PO_HEADERS_ALL,POZ_SUPPLIERS,VENDOR_ID
PO_HEADERS_ALL.POZ_SUPPLIER_MERGE_REQUESTS.MERGE_REQUEST_ID,PO_HEADERS_ALL,POZ_SUPPLIER_MERGE_REQUESTS,MERGE_REQUEST_ID
PO_HEADERS_ALL.GL_DAILY_CONVERSION_TYPES.RATE_TYPE,PO_HEADERS_ALL,GL_DAILY_CONVERSION_TYPES,RATE_TYPE
PO_ATTRIBUTE_VALUES.PO_HEADERS_ALL.PO_HEADER_ID,PO_ATTRIBUTE_VALUES,PO_HEADERS_ALL,PO_HEADER_ID
POR_DOC_UPLOAD_JOBS.PO_HEADERS_ALL.PO_HEADER_ID,POR_DOC_UPLOAD_JOBS,PO_HEADERS_ALL,PO_HEADER_ID
PO_RECENT_ACTIVITIES.PO_HEADERS_ALL.OBJECT_ID,PO_RECENT_ACTIVITIES,PO_HEADERS_ALL,OBJECT_ID
PON_BID_PO_NUMBERS.PO_HEADERS_ALL.PO_HEADER_ID,PON_BID_PO_NUMBERS,PO_HEADERS_ALL,PO_HEADER_ID
PO_DISTRIBUTIONS_ARCHIVE_ALL.PO_HEADERS_ALL.PO_HEADER_ID,PO_DISTRIBUTIONS_ARCHIVE_ALL,PO_HEADERS_ALL,PO_HEADER_ID
PON_BID_PO_NUMBERS_HISTORY.PO_HEADERS_ALL.PO_HEADER_ID,PON_BID_PO_NUMBERS_HISTORY,PO_HEADERS_ALL,PO_HEADER_ID
RCV_TRANSACTIONS.PO_HEADERS_ALL.PO_HEADER_ID,RCV_TRANSACTIONS,PO_HEADERS_ALL,PO_HEADER_ID
PO_LINES_ARCHIVE_ALL.PO_HEADERS_ALL.PO_HEADER_ID,PO_LINES_ARCHIVE_ALL,PO_HEADERS_ALL,PO_HEADER_ID
PO_LINES_ARCHIVE_ALL.PO_HEADERS_ALL.FROM_HEADER_ID,PO_LINES_ARCHIVE_ALL,PO_HEADERS_ALL,FROM_HEADER_ID
PO_LINE_LOCATIONS_ALL.PO_HEADERS_ALL.PO_HEADER_ID,PO_LINE_LOCATIONS_ALL,PO_HEADERS_ALL,PO_HEADER_ID
PO_LINE_LOCATIONS_ALL.PO_HEADERS_ALL.FROM_HEADER_ID,PO_LINE_LOCATIONS_ALL,PO_HEADERS_ALL,FROM_HEADER_ID
